algorithm,key_generation_ms,encapsulation_ms,decapsulation_ms,exchange_ms,public_key_size,private_key_size,ciphertext_size,shared_secret_size,success,iteration
RSA-2048,73.11912497971207,0.09741599205881357,2.12470896076411,2.2221249528229237,294,1217,256,32,True,45
RSA-2048,41.45591694395989,0.09062502067536116,2.168750041164458,2.259375061839819,294,1218,256,32,True,46
RSA-2048,27.619041968137026,0.09491690434515476,2.1511249942705035,2.2460418986156583,294,1217,256,32,True,47
RSA-2048,39.56895798910409,0.09537499863654375,2.15466704685241,2.2500420454889536,294,1219,256,32,True,48
RSA-2048,135.11612499132752,0.09183294605463743,2.144583035260439,2.2364159813150764,294,1217,256,32,True,49
RSA-2048,101.17954201996326,0.09387510363012552,2.133833011612296,2.2277081152424216,294,1216,256,32,True,50
RSA-2048,85.59683302883059,0.09791599586606026,2.1372910123318434,2.2352070081979036,294,1216,256,32,True,51
RSA-2048,60.95520895905793,0.08133403025567532,2.171957981772721,2.253292012028396,294,1217,256,32,True,52
RSA-2048,154.8029159894213,0.11504197027534246,2.173125045374036,2.2881670156493783,294,1218,256,32,True,53
RSA-2048,257.9520420404151,0.09266601409763098,2.263708971440792,2.356374985538423,294,1218,256,32,True,54
RSA-2048,30.852542025968432,0.07737509440630674,2.142874989658594,2.220250084064901,294,1218,256,32,True,55
RSA-2048,119.2071660188958,0.09579199831932783,2.2003339836373925,2.2961259819567204,294,1218,256,32,True,56
RSA-2048,60.420542024075985,0.11154101230204105,2.295584068633616,2.407125080935657,294,1217,256,32,True,57
RSA-2048,82.09100004751235,0.08758297190070152,2.097667078487575,2.1852500503882766,294,1218,256,32,True,58
RSA-2048,81.42983308061957,0.08545804303139448,2.301083062775433,2.3865411058068275,294,1217,256,32,True,59
RSA-2048,105.23604101035744,0.10208296589553356,2.369792084209621,2.4718750501051545,294,1216,256,32,True,60
RSA-2048,42.11145802401006,0.1433329889550805,2.214708016254008,2.3580410052090883,294,1217,256,32,True,61
RSA-2048,89.6827089600265,0.08991698268800974,2.2581249941140413,2.348041976802051,294,1219,256,32,True,62
RSA-2048,31.80795896332711,0.08091598283499479,2.124875085428357,2.205791068263352,294,1217,256,32,True,63
RSA-2048,98.76016702037305,0.09799993131309748,2.16766691301018,2.2656668443232775,294,1216,256,32,True,64
RSA-2048,153.85762508958578,0.10299996938556433,2.173334010876715,2.2763339802622795,294,1219,256,32,True,65
RSA-2048,14.711707946844399,0.1026670215651393,2.310666022822261,2.4133330443874,294,1216,256,32,True,66
RSA-2048,33.51937502156943,0.08649996016174555,2.135082962922752,2.2215829230844975,294,1217,256,32,True,67
RSA-2048,49.89024996757507,0.08604209870100021,2.2481250343844295,2.3341671330854297,294,1218,256,32,True,68
RSA-2048,25.202459073625505,0.095625058747828,2.2797079291194677,2.3753329878672957,294,1218,256,32,True,69
RSA-2048,49.30454201530665,0.08408306166529655,2.2627089638262987,2.3467920254915953,294,1216,256,32,True,70
RSA-2048,70.72541699744761,0.10504201054573059,2.3244170006364584,2.429459011182189,294,1219,256,32,True,71
RSA-2048,118.12433297745883,0.09970797691494226,2.3699579760432243,2.4696659529581666,294,1218,256,32,True,72
RSA-2048,33.6772499140352,0.11570798233151436,2.1305419504642487,2.246249932795763,294,1216,256,32,True,73
RSA-2048,60.93458307441324,0.12075004633516073,2.390249981544912,2.5110000278800726,294,1219,256,32,True,74
RSA-2048,78.05362495128065,0.11854199692606926,2.344624954275787,2.463166951201856,294,1217,256,32,True,75
RSA-2048,30.329333967529237,0.13095804024487734,2.3170419735834002,2.4480000138282776,294,1216,256,32,True,76
RSA-2048,21.259292028844357,0.08791708387434483,2.209707978181541,2.297625062055886,294,1217,256,32,True,77
RSA-2048,55.21904199849814,0.09041698649525642,2.162541961297393,2.2529589477926493,294,1217,256,32,True,78
RSA-2048,130.34179201349616,0.08716597221791744,2.1667919354513288,2.253957907669246,294,1216,256,32,True,79
RSA-2048,35.2887500775978,0.06395799573510885,2.240624977275729,2.304582973010838,294,1217,256,32,True,80
RSA-2048,37.228417000733316,0.061583006754517555,2.1406669402495027,2.20224994700402,294,1217,256,32,True,81
RSA-2048,76.48341602180153,0.1076660118997097,2.263749949634075,2.371415961533785,294,1216,256,32,True,82
RSA-2048,28.112082974985242,0.08104194421321154,2.1342920372262597,2.2153339814394712,294,1218,256,32,True,83
RSA-2048,71.95216603577137,0.09341700933873653,2.1243749652057886,2.217791974544525,294,1217,256,32,True,84
RSA-2048,70.03645796794444,0.11987495236098766,2.4363750126212835,2.556249964982271,294,1217,256,32,True,85
RSA-2048,52.184500033035874,0.09770796168595552,2.1687920670956373,2.266500028781593,294,1217,256,32,True,86
RSA-2048,43.09191706124693,0.11404103133827448,2.169625018723309,2.2836660500615835,294,1217,256,32,True,87
RSA-2048,89.50320910662413,0.09075005073100328,2.1606669761240482,2.2514170268550515,294,1218,256,32,True,88
RSA-2048,48.5622079577297,0.08895806968212128,2.133374917320907,2.2223329870030284,294,1217,256,32,True,89
RSA-2048,19.727834034711123,0.06595905870199203,2.1458329865708947,2.2117920452728868,294,1217,256,32,True,90
RSA-2048,23.38970801793039,0.0665000407025218,2.3990420158952475,2.4655420565977693,294,1218,256,32,True,91
RSA-2048,116.06254207435995,0.0944170169532299,2.234750078059733,2.329167095012963,294,1216,256,32,True,92
RSA-2048,110.14287499710917,0.10737497359514236,2.170124906115234,2.2774998797103763,294,1215,256,32,True,93
RSA-2048,37.67704090569168,0.13441697228699923,2.191541949287057,2.325958921574056,294,1216,256,32,True,94
RSA-2048,29.916708008386195,0.1117080682888627,2.1852500503882766,2.2969581186771393,294,1218,256,32,True,95
RSA-2048,14.820416923612356,0.07250008638948202,2.169499988667667,2.242000075057149,294,1218,256,32,True,96
RSA-2048,42.97624994069338,0.07454201113432646,2.133667003363371,2.2082090144976974,294,1219,256,32,True,97
RSA-2048,116.60733399912715,0.09154202416539192,2.1423751022666693,2.233917126432061,294,1217,256,32,True,98
RSA-2048,85.79779195133597,0.15483296010643244,2.1828330354765058,2.337665995582938,294,1217,256,32,True,99
RSA-2048,66.9822080526501,0.17625000327825546,2.3407089756801724,2.516958978958428,294,1217,256,32,True,100
RSA-2048,30.428375001065433,0.10845798533409834,2.326125046238303,2.4345830315724015,294,1216,256,32,True,101
RSA-2048,40.23325000889599,0.11608307249844074,2.1872500656172633,2.303333138115704,294,1219,256,32,True,102
RSA-2048,32.743209041655064,0.09550002869218588,2.16533406637609,2.260834095068276,294,1218,256,32,True,103
RSA-2048,42.801290983334184,0.09350001346319914,2.179292030632496,2.272792044095695,294,1218,256,32,True,104
RSA-2048,27.11958298459649,0.091583002358675,2.237499924376607,2.329082926735282,294,1218,256,32,True,105
RSA-2048,105.40912498254329,0.08695805445313454,2.178416936658323,2.2653749911114573,294,1216,256,32,True,106
RSA-2048,72.91849993634969,0.10479195043444633,2.1768329897895455,2.281624940223992,294,1217,256,32,True,107
RSA-2048,141.8044170131907,0.18954207189381123,2.2119999630376697,2.401542034931481,294,1217,256,32,True,108
RSA-2048,110.40058301296085,0.09245797991752625,2.1639169426634908,2.256374922581017,294,1216,256,32,True,109
RSA-2048,184.45300008170307,0.09941693861037493,2.1164159988984466,2.2158329375088215,294,1218,256,32,True,110
RSA-2048,237.99258307553828,0.09708304423838854,2.1686669206246734,2.265749964863062,294,1217,256,32,True,111
RSA-2048,72.67262495588511,0.09329209569841623,2.1583749912679195,2.2516670869663358,294,1217,256,32,True,112
RSA-2048,62.45954195037484,0.13420800678431988,2.2652080515399575,2.3994160583242774,294,1217,256,32,True,113
RSA-2048,216.81937505491078,0.09237497579306364,2.2315410897135735,2.323916065506637,294,1216,256,32,True,114
RSA-2048,63.75899992417544,0.08833303581923246,2.1722089732065797,2.260542009025812,294,1217,256,32,True,115
RSA-2048,114.09979104064405,0.1045420067384839,2.1337500074878335,2.2382920142263174,294,1216,256,32,True,116
RSA-2048,78.36262497585267,0.09191699791699648,2.238832996226847,2.3307499941438437,294,1216,256,32,True,117
RSA-2048,128.322041942738,0.10575004853308201,2.315041027031839,2.420791075564921,294,1217,256,32,True,118
RSA-2048,133.55770893394947,0.08804106619209051,2.1261670626699924,2.214208128862083,294,1217,256,32,True,119
RSA-2048,80.85029106587172,0.08979195263236761,2.1475839894264936,2.2373759420588613,294,1218,256,32,True,120
RSA-2048,60.395624954253435,0.08666596841067076,2.14179209433496,2.2284580627456307,294,1218,256,32,True,121
RSA-2048,44.027665979228914,0.07591699250042439,2.135957940481603,2.2118749329820275,294,1218,256,32,True,122
RSA-2048,68.0194579763338,0.0827079638838768,2.1910000359639525,2.2737079998478293,294,1218,256,32,True,123
RSA-2048,37.2091670287773,0.06779097020626068,2.1634589647874236,2.2312499349936843,294,1218,256,32,True,124
RSA-2048,70.05291595123708,0.10312499944120646,2.239417051896453,2.3425420513376594,294,1218,256,32,True,125
RSA-2048,27.77699998114258,0.10229193139821291,2.236582920886576,2.338874852284789,294,1217,256,32,True,126
RSA-2048,17.125916085205972,0.09391701314598322,2.3567089810967445,2.4506259942427278,294,1218,256,32,True,127
RSA-2048,84.00104101747274,0.1260829158127308,2.1632499992847443,2.289332915097475,294,1217,256,32,True,128
RSA-2048,94.07570795156062,0.09016599506139755,2.1379999816417694,2.228165976703167,294,1217,256,32,True,129
RSA-2048,13.994000037200749,0.06608304101973772,2.123125013895333,2.1892080549150705,294,1218,256,32,True,130
RSA-2048,56.99587496928871,0.07295794785022736,2.1095420233905315,2.182499971240759,294,1216,256,32,True,131
RSA-2048,156.46562504116446,0.06562506314367056,2.224833006039262,2.2904580691829324,294,1218,256,32,True,132
RSA-2048,45.39500002283603,0.08295790757983923,2.109459019266069,2.192416926845908,294,1217,256,32,True,133
RSA-2048,36.73183300998062,0.06983301136642694,2.151792054064572,2.221625065430999,294,1218,256,32,True,134
RSA-2048,169.72208302468061,0.06908306386321783,2.1311669843271375,2.2002500481903553,294,1217,256,32,True,135
RSA-2048,61.37725000735372,0.10599999222904444,2.217500004917383,2.3234999971464276,294,1218,256,32,True,136
RSA-2048,38.8601659797132,0.09829201735556126,2.2495000157505274,2.3477920331060886,294,1217,256,32,True,137
RSA-2048,38.69887499604374,0.09412493091076612,2.1612499840557575,2.2553749149665236,294,1216,256,32,True,138
RSA-2048,88.47825007978827,0.09179103653877974,2.193375024944544,2.2851660614833236,294,1218,256,32,True,139
RSA-2048,58.67812503129244,0.07304106839001179,2.1452499786391854,2.218291047029197,294,1214,256,32,True,140
RSA-2048,88.71791593264788,0.09866699110716581,2.1184170618653297,2.2170840529724956,294,1218,256,32,True,141
RSA-2048,24.463500012643635,0.08941697888076305,2.130540902726352,2.2199578816071153,294,1215,256,32,True,142
RSA-2048,62.97254201490432,0.09837502148002386,2.154582994990051,2.2529580164700747,294,1217,256,32,True,143
RSA-2048,48.851665924303234,0.09554193820804358,2.1658340701833367,2.2613760083913803,294,1217,256,32,True,144
RSA-2048,55.65870797727257,0.09358301758766174,2.185499994084239,2.2790830116719007,294,1217,256,32,True,145
RSA-2048,47.6869170088321,0.09408302139490843,2.2025840589776635,2.296667080372572,294,1217,256,32,True,146
RSA-2048,36.16812499240041,0.09212503209710121,2.143707941286266,2.235832973383367,294,1217,256,32,True,147
RSA-2048,85.75695799663663,0.09104202035814524,2.2429170785471797,2.333959098905325,294,1217,256,32,True,148
RSA-2048,48.44770801719278,0.08820800576359034,2.1334170596674085,2.221625065430999,294,1217,256,32,True,149
RSA-2048,69.3582909880206,0.06233400199562311,2.1163749042898417,2.1787089062854648,294,1217,256,32,True,150
RSA-2048,168.67304197512567,0.11141702998429537,2.1524999756366014,2.263917005620897,294,1218,256,32,True,151
RSA-2048,64.22145792748779,0.08983304724097252,2.2785000037401915,2.368333050981164,294,1216,256,32,True,152
RSA-2048,47.937165945768356,0.08875003550201654,2.1668749395757914,2.255624975077808,294,1217,256,32,True,153
RSA-2048,82.92095898650587,0.07016700692474842,2.147249993868172,2.2174170007929206,294,1219,256,32,True,154
RSA-2048,206.9826249498874,0.10633294004946947,2.0937080262228847,2.200040966272354,294,1218,256,32,True,155
RSA-2048,25.848124991171062,0.07774995174258947,2.2153749596327543,2.293124911375344,294,1218,256,32,True,156
RSA-2048,227.18787495978177,0.08741708006709814,2.117375028319657,2.204792108386755,294,1219,256,32,True,157
RSA-2048,177.87050001788884,0.09624997619539499,2.12958303745836,2.225833013653755,294,1218,256,32,True,158
RSA-2048,56.85874994378537,0.09270792361348867,2.1460000425577164,2.238707966171205,294,1217,256,32,True,159
RSA-2048,51.88270902726799,0.08983397856354713,2.2240409161895514,2.3138748947530985,294,1216,256,32,True,160
RSA-2048,80.54220804478973,0.0930840615183115,2.141291042789817,2.2343751043081284,294,1217,256,32,True,161
RSA-2048,25.11720801703632,0.08208293002098799,2.1958330180495977,2.2779159480705857,294,1217,256,32,True,162
RSA-2048,44.160792022012174,0.11149991769343615,5.419582943432033,5.531082861125469,294,1217,256,32,True,163
RSA-2048,83.28716596588492,0.08812500163912773,2.233416074886918,2.321541076526046,294,1217,256,32,True,164
RSA-2048,19.24616703763604,0.06595801096409559,2.1404169965535402,2.206375007517636,294,1217,256,32,True,165
RSA-2048,45.912250061519444,0.06758293602615595,2.117666997946799,2.1852499339729548,294,1218,256,32,True,166
RSA-2048,80.55474993307143,0.08483300916850567,2.1230410784482956,2.2078740876168013,294,1218,256,32,True,167
RSA-2048,87.46545796748251,0.06379198748618364,2.165250014513731,2.2290420019999146,294,1217,256,32,True,168
RSA-2048,54.57104207016528,0.1253749942407012,2.1816659718751907,2.307040966115892,294,1218,256,32,True,169
RSA-2048,71.85733306687325,0.09379105176776648,2.243792056106031,2.3375831078737974,294,1217,256,32,True,170
RSA-2048,19.598333979956806,0.06841705180704594,2.16283299960196,2.231250051409006,294,1217,256,32,True,171
RSA-2048,29.78566603269428,0.06333307828754187,2.1356251090765,2.198958187364042,294,1216,256,32,True,172
RSA-2048,105.81370792351663,0.0753339845687151,2.174125052988529,2.2494590375572443,294,1217,256,32,True,173
RSA-2048,77.2057919530198,0.08633302059024572,2.1517499117180705,2.2380829323083162,294,1217,256,32,True,174
RSA-2048,124.04212506953627,0.08029199671000242,2.119458047673106,2.1997500443831086,294,1217,256,32,True,175
RSA-2048,286.75970900803804,0.08995796088129282,2.1219169721007347,2.2118749329820275,294,1219,256,32,True,176
RSA-2048,220.85041692480445,0.1397499581798911,2.1483750315383077,2.2881249897181988,294,1216,256,32,True,177
RSA-2048,63.49924998357892,0.08341704960912466,2.1620829356834292,2.245499985292554,294,1217,256,32,True,178
RSA-2048,123.56016598641872,0.08645793423056602,2.105750027112663,2.192207961343229,294,1218,256,32,True,179
RSA-2048,35.08612501900643,0.07241696584969759,2.1407920867204666,2.213209052570164,294,1217,256,32,True,180
RSA-2048,43.76429202966392,0.06116705480962992,2.088374923914671,2.149541978724301,294,1218,256,32,True,181
RSA-2048,181.8888339912519,0.13345805928111076,2.13591696228832,2.269375021569431,294,1217,256,32,True,182
RSA-2048,35.47541692387313,0.07845798972994089,2.1432499634101987,2.2217079531401396,294,1218,256,32,True,183
RSA-2048,21.07374998740852,0.06945792119950056,2.243667026050389,2.3131249472498894,294,1217,256,32,True,184
RSA-2048,167.02925006393343,0.08899997919797897,2.1207910031080246,2.2097909823060036,294,1217,256,32,True,185
RSA-2048,37.04587498214096,0.06429199129343033,2.1260420326143503,2.1903340239077806,294,1216,256,32,True,186
RSA-2048,43.07333298493177,0.06595801096409559,2.152833971194923,2.2187919821590185,294,1218,256,32,True,187
RSA-2048,28.10970798600465,0.06804207805544138,2.1533750696107745,2.221417147666216,294,1217,256,32,True,188
RSA-2048,42.16800001449883,0.0641250517219305,2.1347079891711473,2.198833040893078,294,1217,256,32,True,189
RSA-2048,15.897374949418008,0.09062502067536116,2.105291932821274,2.195916953496635,294,1216,256,32,True,190
RSA-2048,62.94395891018212,0.0913750845938921,2.191959065385163,2.283334149979055,294,1218,256,32,True,191
RSA-2048,155.12141690123826,0.09537499863654375,2.1739999065175653,2.269374905154109,294,1217,256,32,True,192
RSA-2048,30.327790998853743,0.06879190914332867,2.142542041838169,2.2113339509814978,294,1218,256,32,True,193
RSA-2048,80.2497499389574,0.0725829740986228,2.152084023691714,2.2246669977903366,294,1217,256,32,True,194
RSA-2048,24.978875066153705,0.06199989002197981,2.1434590453282,2.2054589353501797,294,1216,256,32,True,195
RSA-2048,47.15654195751995,0.08454197086393833,2.084249979816377,2.1687919506803155,294,1216,256,32,True,196
RSA-2048,140.94483305234462,0.0885410699993372,2.1870420314371586,2.275583101436496,294,1216,256,32,True,197
RSA-2048,110.78250000718981,0.09016599506139755,2.1362080005928874,2.226373995654285,294,1217,256,32,True,198
RSA-2048,187.25800001993775,0.0903749605640769,2.2225420689210296,2.3129170294851065,294,1217,256,32,True,199
RSA-2048,47.548834001645446,0.09333400521427393,2.113124937750399,2.206458942964673,294,1218,256,32,True,200
RSA-2048,152.1683339960873,0.09579199831932783,2.1638749167323112,2.259666915051639,294,1217,256,32,True,201
RSA-2048,106.05370905250311,0.08933304343372583,2.1013750229030848,2.1907080663368106,294,1217,256,32,True,202
RSA-2048,212.79408398550004,0.0963329803198576,2.210875041782856,2.3072080221027136,294,1217,256,32,True,203
RSA-2048,36.121750017628074,0.101707992143929,2.1165419602766633,2.2182499524205923,294,1218,256,32,True,204
RSA-2048,85.97537502646446,0.12337497901171446,2.1180830663070083,2.2414580453187227,294,1218,256,32,True,205
RSA-2048,65.57791703380644,0.09341607801616192,2.1362920524552464,2.2297081304714084,294,1217,256,32,True,206
RSA-2048,142.15149998199195,0.09258394129574299,2.1474160021170974,2.2399999434128404,294,1216,256,32,True,207
RSA-2048,36.840957938693464,0.07162499241530895,2.130458946339786,2.202083938755095,294,1218,256,32,True,208
RSA-2048,99.67629099264741,0.09450002107769251,2.196250017732382,2.2907500388100743,294,1217,256,32,True,209
RSA-2048,104.15825003292412,0.09374995715916157,2.19308293890208,2.2868328960612416,294,1218,256,32,True,210
RSA-2048,114.80650003068149,0.08966703899204731,2.1635839948430657,2.253251033835113,294,1217,256,32,True,211
RSA-2048,24.366167024709284,0.06845896132290363,2.141707926057279,2.2101668873801827,294,1218,256,32,True,212
RSA-2048,21.534458035603166,0.07533305324614048,2.152708009816706,2.2280410630628467,294,1217,256,32,True,213
RSA-2048,24.16783303488046,0.07945892866700888,2.1524999756366014,2.2319589043036103,294,1215,256,32,True,214
RSA-2048,94.02879106346518,0.09045808110386133,2.1406669402495027,2.231125021353364,294,1216,256,32,True,215
RSA-2048,76.35641598608345,0.07233396172523499,2.137749921530485,2.21008388325572,294,1218,256,32,True,216
RSA-2048,140.17237490043044,0.08754199370741844,2.168084029108286,2.2556260228157043,294,1215,256,32,True,217
RSA-2048,29.55645800102502,0.07241696584969759,2.1181670017540455,2.190583967603743,294,1216,256,32,True,218
RSA-2048,139.52783297281712,0.08762499783188105,2.1432921057567,2.230917103588581,294,1218,256,32,True,219
RSA-2048,35.867666942067444,0.07312500383704901,2.148292027413845,2.221417031250894,294,1217,256,32,True,220
RSA-2048,86.65508299600333,0.09233294986188412,2.115249983035028,2.207582932896912,294,1218,256,32,True,221
RSA-2048,20.084750023670495,0.09958294685930014,2.1684159291908145,2.2679988760501146,294,1217,256,32,True,222
RSA-2048,39.68229109887034,0.06600003689527512,2.107416046783328,2.173416083678603,294,1216,256,32,True,223
RSA-2048,162.28445898741484,0.08483405690640211,2.11237499024719,2.197209047153592,294,1219,256,32,True,224
RSA-2048,29.465915984474123,0.06374996155500412,2.1623329957947135,2.2260829573497176,294,1217,256,32,True,225
RSA-2048,136.00008306093514,0.07104198448359966,2.1300000371411443,2.201042021624744,294,1216,256,32,True,226
RSA-2048,107.44024999439716,0.08958298712968826,2.1532090613618493,2.2427920484915376,294,1217,256,32,True,227
RSA-2048,19.082541926763952,0.0624579843133688,2.12304200977087,2.185499994084239,294,1217,256,32,True,228
RSA-2048,97.47237502597272,0.07004104554653168,2.1316249622032046,2.2016660077497363,294,1216,256,32,True,229
RSA-2048,97.49883296899498,0.07633306086063385,2.1610830444842577,2.2374161053448915,294,1218,256,32,True,230
RSA-2048,28.740040957927704,0.07850001566112041,2.162541961297393,2.2410419769585133,294,1216,256,32,True,231
RSA-2048,85.64345794729888,0.11650007218122482,2.144583035260439,2.2610831074416637,294,1217,256,32,True,232
RSA-2048,51.5409589279443,0.07508299313485622,2.1483750315383077,2.223458024673164,294,1217,256,32,True,233
RSA-2048,141.54895907267928,0.08004205301404,2.15012498665601,2.23016703967005,294,1217,256,32,True,234
RSA-2048,54.106916999444366,0.06991694681346416,2.1155410213395953,2.1854579681530595,294,1218,256,32,True,235
RSA-2048,132.46929098386317,0.14237500727176666,2.1577919833362103,2.300166990607977,294,1216,256,32,True,236
RSA-2048,54.332916042767465,0.0827909680083394,2.155749942176044,2.2385409101843834,294,1218,256,32,True,237
RSA-2048,65.07420889101923,0.062249950133264065,2.1654999582096934,2.2277499083429575,294,1217,256,32,True,238
RSA-2048,64.09012502990663,0.0705840066075325,2.138082985766232,2.2086669923737645,294,1216,256,32,True,239
RSA-2048,34.1902090003714,0.0687920255586505,2.1248329430818558,2.1936249686405063,294,1218,256,32,True,240
RSA-2048,29.25691695418209,0.06849993951618671,2.200750051997602,2.2692499915137887,294,1219,256,32,True,241
RSA-2048,71.6991670196876,0.06908399518579245,2.084416104480624,2.1535000996664166,294,1218,256,32,True,242
RSA-2048,77.40691700018942,0.08083297871053219,2.1192500134930015,2.2000829922035336,294,1218,256,32,True,243
RSA-2048,152.04408403951675,0.10508403647691011,2.1556660067290068,2.260750043205917,294,1218,256,32,True,244
RSA-2048,22.77058409526944,0.10362500324845314,2.149208914488554,2.252833917737007,294,1219,256,32,True,245
RSA-2048,59.06383297406137,0.07187505252659321,2.1161659387871623,2.1880409913137555,294,1216,256,32,True,246
