algorithm,key_generation_ms,encapsulation_ms,decapsulation_ms,exchange_ms,public_key_size,private_key_size,ciphertext_size,shared_secret_size,success,iteration
ECDH-P256,0.036792014725506306,0.1230000052601099,0.017541926354169846,0.14054193161427975,91,138,48,32,True,61
ECDH-P256,0.03445905167609453,0.1205839216709137,0.017083948478102684,0.13766787014901638,91,138,48,32,True,62
ECDH-P256,0.0338749960064888,0.1204170985147357,0.017000013031065464,0.13741711154580116,91,138,48,32,True,63
ECDH-P256,0.0338749960064888,0.1204590080305934,0.01691700890660286,0.13737601693719625,91,138,48,32,True,64
ECDH-P256,0.03337510861456394,0.12158299796283245,0.017042038962244987,0.13862503692507744,91,138,48,32,True,65
ECDH-P256,0.03483297768980265,0.12554193381220102,0.016375095583498478,0.1419170293956995,91,138,48,32,True,66
ECDH-P256,0.03379210829734802,0.12095808051526546,0.01683307345956564,0.1377911539748311,91,138,48,32,True,67
ECDH-P256,0.03395893145352602,0.12133398558944464,0.017000013031065464,0.1383339986205101,91,138,48,32,True,68
ECDH-P256,0.03408396150916815,0.12208404950797558,0.016542035154998302,0.13862608466297388,91,138,48,32,True,69
ECDH-P256,0.03358302637934685,0.12241594959050417,0.016749952919781208,0.13916590251028538,91,138,48,32,True,70
ECDH-P256,0.03391597419977188,0.12049998622387648,0.016459031030535698,0.13695901725441217,91,138,48,32,True,71
ECDH-P256,0.033624935895204544,0.12004096060991287,0.016167061403393745,0.13620802201330662,91,138,48,32,True,72
ECDH-P256,0.03370898775756359,0.12049998622387648,0.016707926988601685,0.13720791321247816,91,138,48,32,True,73
ECDH-P256,0.03333296626806259,0.12112502008676529,0.016625039279460907,0.1377500593662262,91,138,48,32,True,74
ECDH-P256,0.03400002606213093,0.1218749675899744,0.016874982975423336,0.13874995056539774,91,138,48,32,True,75
ECDH-P256,0.034374999813735485,0.12262503150850534,0.016583013348281384,0.13920804485678673,91,138,48,32,True,76
ECDH-P256,0.03441690932959318,0.12104201596230268,0.016583944670856,0.13762596063315868,91,138,48,32,True,77
ECDH-P256,0.03441702574491501,0.12141698971390724,0.016457983292639256,0.1378749730065465,91,138,48,32,True,78
ECDH-P256,0.03404205199331045,0.12125005014240742,0.016958103515207767,0.13820815365761518,91,138,48,32,True,79
ECDH-P256,0.03441702574491501,0.12312503531575203,0.017042038962244987,0.14016707427799702,91,138,48,32,True,80
ECDH-P256,0.03454193938523531,0.12595904991030693,0.01650000922381878,0.1424590591341257,91,138,48,32,True,81
ECDH-P256,0.03487500362098217,0.12029206845909357,0.017459038645029068,0.13775110710412264,91,138,48,32,True,82
